'5.6_millimetres' | structural violation
rifle -> portable_gun -> direct_projectile_launcher -> direct_fire_weapon -> weapon | semantic abstraction jump
rifle -> portable_gun -> direct_projectile_launcher -> direct_fire_weapon -> projectile_launcher -> projectile_weapon_or_launcher | edge semantic failure
rifle -> gun -> user_triggered_weapon -> weapon | semantic abstraction jump
rifle -> gun -> projectile_launcher -> projectile_weapon_or_launcher | semantic abstraction jump
rifle -> gun -> conventional_weapon -> weapon | semantic abstraction jump
rifle -> firearm -> gun -> user_triggered_weapon -> weapon | semantic abstraction jump
rifle -> firearm -> gun -> projectile_launcher -> projectile_weapon_or_launcher | semantic abstraction jump
rifle -> firearm -> gun -> conventional_weapon -> weapon | semantic abstraction jump
'nicknamed\'rat_shot' | structural violation
great_round_for_plinking | structural violation
long_time_to_sleep | structural violation
newspaper -> periodical -> books_and_magazines | edge semantic failure
newspaper -> periodical -> publication | semantic abstraction jump
newspaper -> periodical -> published_work | edge semantic failure
newspaper -> periodical -> published_work -> publication | edge semantic failure
newspaper -> paper -> article | edge semantic failure
newspaper -> paper -> article -> nonfiction | edge semantic failure
'25_mm_cannon' -> cannon -> large_gun | edge semantic failure
'25_mm_cannon' -> cannon -> large_gun | edge semantic failure
'25_mm_machine_cannon' -> '25_mm_cannon' -> cannon -> large_gun | edge semantic failure
'25_mm_machine_cannon' -> '25_mm_cannon' -> cannon -> large_gun | edge semantic failure
nissan_vehicle -> japanese_car -> imported_car -> car -> motor_vehicle | semantic abstraction jump
nissan_vehicle -> japanese_car -> imported_car -> car -> vehicle | semantic abstraction jump
nissan_vehicle -> japanese_car -> imported_car -> car -> wheeled_vehicle -> vehicle | semantic abstraction jump
nissan_vehicle -> japanese_car -> imported_car -> car -> motor_vehicle -> land_vehicle | semantic abstraction jump
nissan_vehicle -> japanese_car -> imported_car -> car -> motor_vehicle -> land_vehicle -> self_powered_vehicle | semantic abstraction jump
chloropropane -> chloroalkane -> haloalkane -> halocarbon | semantic abstraction jump
'2_d_point' -> point_in_space -> multi_point | semantic abstraction jump
better_than1 | structural violation
'2_methoxybenzoic_acid' -> benzoic_acid -> carboxylic_acid -> acid -> compound | edge semantic failure
moderate_physiological_condition -> disease_severity -> medical_condition | semantic abstraction jump
moderate_physiological_condition -> disease_severity -> medical_condition -> abnormal_condition | semantic abstraction jump
skiiing | structural violation
'2_phosphoglycerate_molecule' -> organic_molecule -> molecule | semantic abstraction jump
molecule -> poly_atomic_chemical_object -> chemical_object | semantic abstraction jump
molecule -> poly_atomic_chemical_object -> group_of_atoms | edge semantic failure
molecule -> poly_atomic_chemical_object -> group_of_atoms -> group_of_chemical_objects | edge semantic failure
automatic_weapon -> gun -> conventional_weapon | semantic abstraction jump
automatic_weapon -> gun -> mechanical_device | edge semantic failure
automatic_weapon -> gun -> user_triggered_weapon | semantic abstraction jump
automatic_weapon -> gun -> weapon_often | semantic abstraction jump
automatic_weapon -> gun -> weapon | semantic abstraction jump
automatic_weapon -> gun -> weapon_often | semantic abstraction jump
automatic_weapon -> gun -> user_triggered_weapon -> weapon | semantic abstraction jump
automatic_weapon -> gun -> projectile_launcher -> projectile_weapon_or_launcher | semantic abstraction jump
automatic_weapon -> gun -> conventional_weapon -> weapon | semantic abstraction jump
smooth_bore_weapon -> gun -> conventional_weapon | semantic abstraction jump
smooth_bore_weapon -> gun -> user_triggered_weapon | semantic abstraction jump
smooth_bore_weapon -> gun -> weapon | semantic abstraction jump
smooth_bore_weapon -> gun -> user_triggered_weapon -> weapon | semantic abstraction jump
smooth_bore_weapon -> gun -> conventional_weapon -> weapon | semantic abstraction jump
tank_cannon -> cannon -> large_gun | edge semantic failure
tank_cannon -> cannon -> large_gun | edge semantic failure
'2a38_tank_cannon' -> tank_cannon -> cannon -> large_gun | edge semantic failure
'2a38_tank_cannon' -> tank_cannon -> cannon -> large_gun | edge semantic failure
rifled_bore_weapon -> projectile_launcher -> projectile_weapon_or_launcher | semantic abstraction jump
acetylpyrroline | structural violation
ap | structural violation
imine | structural violation
'2b9_mortar' -> mortar_launcher_medium -> mortar | semantic abstraction jump
mortar_launcher_medium -> mortar -> indirect_projectile_launcher | edge semantic failure
mortar_launcher_medium -> mortar -> indirect_projectile_launcher -> projectile_launcher | edge semantic failure
mortar_launcher_medium -> mortar -> indirect_projectile_launcher -> projectile_launcher -> projectile_weapon_or_launcher | edge semantic failure
mortar_launcher_medium -> artillery_piece -> indirect_projectile_launcher | semantic abstraction jump
mortar_launcher_medium -> artillery_piece -> indirect_projectile_launcher -> projectile_launcher | semantic abstraction jump
mortar_launcher_medium -> artillery_piece -> indirect_projectile_launcher -> projectile_launcher -> projectile_weapon_or_launcher | semantic abstraction jump
'2d_geographical_place' -> geographical_region_of_space -> region_of_space -> localized_spatial_thing | semantic abstraction jump
'2d_geographical_place' -> geographical_region_of_space -> region_of_space -> spatial_region | semantic abstraction jump
'2d_geographical_place' -> geographical_region_of_space -> region_of_space -> spatial_region -> non_situational_spatial_thing | semantic abstraction jump
'2d_geographical_place' -> geographical_region_of_space -> region_of_space -> spatial_region -> non_situational_spatial_thing -> spatial_thing | semantic abstraction jump
'2d_geographical_place' -> geographical_region_of_space -> region_of_space -> spatial_region -> non_situational_spatial_thing -> spatial_thing | semantic abstraction jump
'2d_geographical_place' -> geographical_region_of_space -> region_of_space -> localized_spatial_thing -> spatial_thing | semantic abstraction jump
'2d_geographical_place' -> geographical_region_of_space -> region_of_space -> localized_spatial_thing -> spatial_thing | semantic abstraction jump
'2d_geographical_place' -> geographical_area_intangible -> intangible_geographical_thing | semantic abstraction jump
'2d_geographical_place' -> geographical_area_intangible -> intangible_geographical_thing -> geographical_thing | semantic abstraction jump
geographical_region_of_space -> homogeneous_space_region -> spatial_region | semantic abstraction jump
geographical_region_of_space -> homogeneous_space_region -> spatial_region -> non_situational_spatial_thing | semantic abstraction jump
geographical_region_of_space -> homogeneous_space_region -> spatial_region -> non_situational_spatial_thing -> spatial_thing | semantic abstraction jump
geographical_region_of_space -> homogeneous_space_region -> spatial_region -> non_situational_spatial_thing -> spatial_thing | semantic abstraction jump
piece_of_wood | structural violation
bmw_automobile -> german_car -> european_car -> imported_car -> car | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> imported_car -> car -> another_name_for_automobile | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> imported_car -> car -> another_word_for_automobile | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> imported_car -> car -> motor_vehicle | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> imported_car -> car -> vehicle | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> imported_car -> car -> another_word_for_automobile | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> imported_car -> car -> another_name_for_automobile | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> gas_driven_automobile -> car | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> gas_driven_automobile -> car -> another_name_for_automobile | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> gas_driven_automobile -> car -> another_word_for_automobile | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> gas_driven_automobile -> car -> motor_vehicle | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> gas_driven_automobile -> car -> vehicle | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> gas_driven_automobile -> car -> another_word_for_automobile | semantic abstraction jump
bmw_automobile -> german_car -> european_car -> gas_driven_automobile -> car -> another_name_for_automobile | semantic abstraction jump
desktop_computer -> personal_computer -> single_user_computer -> computer | semantic abstraction jump
desktop_computer -> personal_computer -> single_user_computer -> computer -> computer_hardware | semantic abstraction jump
desktop_computer -> personal_computer -> single_user_computer -> computer -> machine | semantic abstraction jump
desktop_computer -> personal_computer -> single_user_computer -> computer -> computer_hardware -> computer_product | semantic abstraction jump
desktop_computer -> personal_computer -> single_user_computer -> computer -> computer_hardware -> computers_peripherals | semantic abstraction jump
desktop_computer -> personal_computer -> digital_computer -> computer | semantic abstraction jump
desktop_computer -> personal_computer -> digital_computer -> computer -> computer_hardware | semantic abstraction jump
desktop_computer -> personal_computer -> digital_computer -> computer -> machine | semantic abstraction jump
desktop_computer -> personal_computer -> digital_computer -> computer -> computer_hardware -> computer_product | semantic abstraction jump
desktop_computer -> personal_computer -> digital_computer -> computer -> computer_hardware -> computers_peripherals | semantic abstraction jump
'35_dinitrobenzoic_acid' -> benzoic_acid -> carboxylic_acid -> acid -> compound | edge semantic failure
car -> wheeled_vehicle -> vehicle | semantic abstraction jump
car -> wheeled_vehicle -> vehicle -> machine | edge semantic failure
car -> wheeled_vehicle -> vehicle -> machine -> device | edge semantic failure
car -> vehicle -> machine | edge semantic failure
car -> vehicle -> machine -> device | edge semantic failure
car -> motor_vehicle -> land_vehicle -> self_powered_vehicle -> transportation_device | edge semantic failure
car -> motor_vehicle -> land_vehicle -> self_powered_vehicle -> transportation_device -> device | edge semantic failure
car -> machine -> device | semantic abstraction jump
gas_driven_automobile -> car -> motor_vehicle | semantic abstraction jump
gas_driven_automobile -> car -> motor_vehicle -> self_propelled_vehicle | semantic abstraction jump
sports_car -> car -> wheeled_vehicle -> vehicle | semantic abstraction jump
sports_car -> car -> motor_vehicle -> self_propelled_vehicle -> wheeled_vehicle | semantic abstraction jump
sports_car -> car -> motor_vehicle -> self_propelled_vehicle -> wheeled_vehicle -> vehicle | semantic abstraction jump
handgun -> portable_gun -> gun | semantic abstraction jump
handgun -> portable_gun -> gun -> conventional_weapon | semantic abstraction jump
handgun -> portable_gun -> gun -> firearm_shoots_bullets | semantic abstraction jump
handgun -> portable_gun -> gun -> user_triggered_weapon | semantic abstraction jump
handgun -> portable_gun -> gun -> weapon_often | semantic abstraction jump
handgun -> portable_gun -> gun -> weapon | semantic abstraction jump
handgun -> portable_gun -> gun -> weapon_often | semantic abstraction jump
handgun -> portable_gun -> gun -> user_triggered_weapon -> weapon | semantic abstraction jump
handgun -> portable_gun -> gun -> firearm_shoots_bullets | semantic abstraction jump
handgun -> portable_gun -> gun -> conventional_weapon -> weapon | semantic abstraction jump
military_weapon -> military_hardware -> military_equipment | semantic abstraction jump
military_weapon -> military_hardware -> military_equipment -> military_object | semantic abstraction jump
'3f_aortic_prosthesis' -> valve_prosthesis -> cardiovascular_implant | edge semantic failure
company -> organization -> administration -> commercial_organization | semantic abstraction jump
company -> organization -> administration -> management | semantic abstraction jump
large_corporation | structural violation
audi -> german_car -> european_car -> imported_car -> car | semantic abstraction jump
audi -> german_car -> european_car -> imported_car -> car -> motor_vehicle | semantic abstraction jump
audi -> german_car -> european_car -> imported_car -> car -> vehicle | semantic abstraction jump
rocket_propelled_grenade -> grenade -> bomb -> explosive_device | semantic abstraction jump
rocket_propelled_grenade -> grenade -> bomb -> explosive_device -> potential_explosive_threat | semantic abstraction jump
rocket_propelled_grenade -> bomb -> explosive_device | semantic abstraction jump
rocket_propelled_grenade -> bomb -> explosive_device -> potential_explosive_threat | semantic abstraction jump
computer_hardware -> computers_peripherals -> technology_hardware_equipment | semantic abstraction jump
computer_hardware -> computers_peripherals -> technology_hardware_equipment | semantic abstraction jump
information_technology_related_thing | structural violation
mathematical_expression | structural violation
'4_aminobenzoic_acid' -> benzoic_acid -> carboxylic_acid -> organic_acid | semantic abstraction jump
'4_aminobenzoic_acid' -> benzoic_acid -> carboxylic_acid -> organic_acid -> organic_compound | semantic abstraction jump
'4_aminobenzoic_acid' -> benzoic_acid -> carboxylic_acid -> organic_acid -> organic_compound -> compound | semantic abstraction jump
anabolic_steroid -> sex_hormone -> steroid | semantic abstraction jump
anabolic_steroid -> sex_hormone -> steroid -> hormone | semantic abstraction jump
anabolic_steroid -> androgenic_hormone -> steroid | semantic abstraction jump
anabolic_steroid -> androgenic_hormone -> steroid -> hormone | semantic abstraction jump
organisation | structural violation
'4_hydroxybenzoic_acid' -> benzoic_acid -> carboxylic_acid -> organic_acid | semantic abstraction jump
'4_hydroxybenzoic_acid' -> benzoic_acid -> carboxylic_acid -> organic_acid -> chemically_acidic_substance | semantic abstraction jump
'4_hydroxybenzoic_acid' -> benzoic_acid -> carboxylic_acid -> organic_acid -> organic_compound | semantic abstraction jump
'4_hydroxybenzoic_acid' -> benzoic_acid -> carboxylic_acid -> organic_acid -> organic_compound -> compound | semantic abstraction jump
'4_hydroxybenzoic_acid' -> benzoic_acid -> carboxylic_acid -> acid -> compound | edge semantic failure
'4_methylbenzoic_acid' -> benzoic_acid -> carboxylic_acid -> organic_acid | semantic abstraction jump
'4_methylbenzoic_acid' -> benzoic_acid -> carboxylic_acid -> organic_acid -> organic_compound | semantic abstraction jump
'4_methylbenzoic_acid' -> benzoic_acid -> carboxylic_acid -> organic_acid -> organic_compound -> compound | semantic abstraction jump
'4_methylbenzoic_acid' -> benzoic_acid -> carboxylic_acid -> acid -> compound | edge semantic failure
severe_condition -> disease_severity -> medical_condition | semantic abstraction jump
severe_condition -> disease_severity -> medical_condition -> abnormal_condition | semantic abstraction jump
severe_condition -> disease_severity -> medical_condition -> medical_procedure_or_condition | semantic abstraction jump
severe_condition -> disease_severity -> medical_condition -> medical_procedure_or_condition | semantic abstraction jump
television_episode | structural violation
dcverse | structural violation
tetraplex | structural violation
television_show | structural violation
bacterial_neurotoxin -> exotoxin -> bacterial_toxin | semantic abstraction jump
bacterial_neurotoxin -> exotoxin -> bacterial_toxin -> biological_toxin | semantic abstraction jump
bacterial_neurotoxin -> exotoxin -> bacterial_toxin -> toxin | semantic abstraction jump
nato_round | structural violation
efficient_round | structural violation
discovered_every_year | structural violation
'76_millimetre_cannon' -> cannon -> large_gun | edge semantic failure
'76_millimetre_cannon' -> cannon -> large_gun | edge semantic failure
bigger_than_4_alarm_fire | structural violation
popular_soda | structural violation
soda -> soft_drink -> carbonated_beverage | semantic abstraction jump
soda -> soft_drink -> carbonated | edge semantic failure
soda -> soft_drink -> carbonated | edge semantic failure
soda -> soft_drink -> carbonated_beverage -> beverage | semantic abstraction jump
soda -> soft_drink -> carbonated_beverage -> beverage -> food_and_drink | semantic abstraction jump
soda -> soft_drink -> carbonated_beverage -> beverage -> food | semantic abstraction jump
soda -> soft_drink -> carbonated_beverage -> beverage -> liquid | semantic abstraction jump
soda -> soft_drink -> carbonated_beverage -> beverage -> liquid -> fluid | semantic abstraction jump
soda -> soft_drink -> carbonated_beverage -> beverage -> liquid -> substance | semantic abstraction jump
soda -> soft_drink -> carbonated_beverage -> beverage -> liquid -> fluid -> substance | semantic abstraction jump
soda -> soft_drink -> carbonated_beverage -> beverage -> food -> substance | semantic abstraction jump
soda -> soft_drink -> carbonated_beverage -> beverage -> food_and_drink -> food_drink_and_ingredient | semantic abstraction jump
soft_drink -> carbonated_beverage -> beverage | semantic abstraction jump
soft_drink -> carbonated_beverage -> beverage -> food_and_drink | semantic abstraction jump
soft_drink -> carbonated_beverage -> beverage -> liquid | semantic abstraction jump
soft_drink -> carbonated_beverage -> beverage -> liquid -> fluid | semantic abstraction jump
soft_drink -> carbonated_beverage -> beverage -> food_and_drink -> food_drink_and_ingredient | semantic abstraction jump
soft_drink -> beverage -> food_and_drink -> food_drink_and_ingredient | semantic abstraction jump
commonly_used_wireless_networking_standard | structural violation
austin_car -> english_car -> car | semantic abstraction jump
austin_car -> english_car -> european_car -> imported_car -> car | semantic abstraction jump
austin_car -> english_car -> european_car -> imported_car -> car -> motor_vehicle | semantic abstraction jump
austin_car -> english_car -> european_car -> imported_car -> car -> vehicle_for_personal_transportation | semantic abstraction jump
austin_car -> english_car -> european_car -> imported_car -> car -> vehicle | semantic abstraction jump
austin_car -> english_car -> european_car -> imported_car -> car -> vehicle_for_personal_transportation | semantic abstraction jump
austin_car -> english_car -> car -> motor_vehicle | semantic abstraction jump
austin_car -> english_car -> car -> vehicle_for_personal_transportation | semantic abstraction jump
austin_car -> english_car -> car -> vehicle | semantic abstraction jump
austin_car -> english_car -> car -> vehicle_for_personal_transportation | semantic abstraction jump
volvo -> swedish_car -> european_car -> imported_car -> car | semantic abstraction jump
volvo -> swedish_car -> european_car -> imported_car -> car -> motor_vehicle | semantic abstraction jump
volvo -> swedish_car -> european_car -> imported_car -> car -> vehicle | semantic abstraction jump
game_of_billiards | structural violation
hypercube | structural violation
situation_report | structural violation
'8x8' | structural violation
porsche -> sports_car -> car | semantic abstraction jump
porsche -> sports_car -> car -> another_name_for_automobile | semantic abstraction jump
porsche -> sports_car -> car -> another_word_for_automobile | semantic abstraction jump
porsche -> sports_car -> car -> motor_vehicle | semantic abstraction jump
porsche -> sports_car -> car -> vehicle | semantic abstraction jump
porsche -> sports_car -> car -> another_word_for_automobile | semantic abstraction jump
porsche -> sports_car -> car -> another_name_for_automobile | semantic abstraction jump
porsche -> luxury_automobile -> car | semantic abstraction jump
porsche -> luxury_automobile -> car -> another_name_for_automobile | semantic abstraction jump
porsche -> luxury_automobile -> car -> another_word_for_automobile | semantic abstraction jump
porsche -> luxury_automobile -> car -> motor_vehicle | semantic abstraction jump
porsche -> luxury_automobile -> car -> vehicle | semantic abstraction jump
porsche -> luxury_automobile -> car -> another_word_for_automobile | semantic abstraction jump
porsche -> luxury_automobile -> car -> another_name_for_automobile | semantic abstraction jump
porsche -> german_car -> european_car -> imported_car -> car | semantic abstraction jump
porsche -> german_car -> european_car -> imported_car -> car -> another_name_for_automobile | semantic abstraction jump
porsche -> german_car -> european_car -> imported_car -> car -> another_word_for_automobile | semantic abstraction jump
porsche -> german_car -> european_car -> imported_car -> car -> motor_vehicle | semantic abstraction jump
porsche -> german_car -> european_car -> imported_car -> car -> vehicle | semantic abstraction jump
porsche -> german_car -> european_car -> imported_car -> car -> another_word_for_automobile | semantic abstraction jump
porsche -> german_car -> european_car -> imported_car -> car -> another_name_for_automobile | semantic abstraction jump
higher_dimensional_object | structural violation
bird -> eagle -> animal | edge semantic failure
bird -> eagle -> bird_of_prey | semantic abstraction jump
bird -> eagle -> large_bird_of_prey | edge semantic failure
bird -> eagle -> large_bird_of_prey | edge semantic failure
bird -> eagle -> bird_of_prey -> predatory_animal | semantic abstraction jump
bird -> eagle -> bird_of_prey -> predatory_animal -> wild_animal | semantic abstraction jump
bird -> eagle -> animal -> living_creature | edge semantic failure
bird -> eagle -> animal -> organism | edge semantic failure
bird -> eagle -> animal -> living_creature | edge semantic failure
mammal -> warm_blooded_animal -> animal | semantic abstraction jump
mammal -> warm_blooded_animal -> animal -> animal_or_body_part | semantic abstraction jump
mammal -> warm_blooded_animal -> animal -> living_creature | semantic abstraction jump
mammal -> warm_blooded_animal -> animal -> organism | semantic abstraction jump
mammal -> warm_blooded_animal -> animal -> living_creature | semantic abstraction jump
mammal -> vertebrate -> sentient_animal | edge semantic failure
mammal -> vertebrate -> sentient_animal -> animal | edge semantic failure
